Resort name,Country,Highest point,Lowest point,Child friendly,Ski pass price adult,Season,Ski map,User rating
Fellhorn-​Kanzelwand-Oberstdorf-​Riezlern,Austria,1.967,920,Yes,45,December - April,Ski map,
Feldberg-Seebuck-​Grafenmatt-​Fahl,Germany,1.448,888,Yes,35,December - April,Ski map,
Fanningberg,Austria,2.115,1.497,Yes,41,December - April,Ski map,
Espace Villard Corrençon-Villard-de-Lans-​Corrençon-en-Vercors,France,2.05,1.05,Yes,36,December - April,Ski map,
Espace San Bernardo – La Rosière/​La Thuile,France,2.641,1.176,Yes,43,December - April,Ski map,
Espace Dôle-La Dôle-​Les Tuffes,France,1.678,1.137,Yes,27,December - March,Ski map,
Espace Diamant-Les Saisies/​Notre-Dame-de-Bellecombe/​Praz sur Arly/​Flumet/​Crest-Voland,France,2.069,1,Yes,40,December - April,Ski map,
Ellmau (SkiWelt Wilder Kaiser-Brixental),Austria,1.957,620,Yes,49,December - April,Ski map,
Elfer Neustift,Austria,2.08,981,Yes,29,December - March,Ski map,
El Tarter – Pas de la Casa/​Grau Roig/​Soldeu/​Canillo/​Encamp (Grandvalira),Andorra,2.64,1.71,Yes,47,November - April,Ski map,
Eibenstock,Germany,745,650,Yes,18,December - March,Ski map,
Eggli-​La Videmanette-Gstaad-​Saanen-​Rougemont,Switzerland,2.151,992,Yes,54,December - March,Ski map,
Dry slopes Ski Arena – Aarhus,Denmark,23,20,Yes,0,no report,Ski map,
Dry slopes Indoorski – Rødovre,Denmark,53,50,Yes,0,Year-round,Ski map,
Dry slopes Dayz Søhøjlandets Skicenter,Denmark,100,80,Yes,36,Year-round,Ski map,
Donovaly-Park Snow-,Slovakia,1.361,914,Yes,26,depending on snow conditions - depending on snow conditions,Ski map,
Disentis 3000,Switzerland,2.833,1.227,Yes,49,December - April,Ski map,
Diavolezza-​Lagalb,Switzerland,3.006,2.091,Yes,59,October - November December - May June - October,Ski map,
Dévoluy-Superdévoluy-​La Joue du Loup,France,2.45,1.45,Yes,36,December - April,Ski map,
Damüls Mellau,Austria,2.05,690,Yes,49,December - April,Ski map,
Dachstein West,Austria,1.62,780,Yes,42,December - April,Ski map,
Crans-Montana,Switzerland,1.51,540,Yes,60,November - April,Ski map,
Courmayeur / Chécrouit -​ Val Veny,Italy,2.755,1.205,Yes,46,depending on snow conditions - depending on snow conditions,Ski map,
